k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
168.0	231.0	264.0	122.0	18.0	84.0	0.3	0.9	false	false
140.0	173.0	71.0	166.0	54.0	109.0	0.7	0.2	false	true
78.0	135.0	226.0	127.0	13.0	97.0	0.5	0.6	false	false
174.0	184.0	82.0	125.0	76.0	106.0	0.5	0.8	false	true
216.0	239.0	123.0	183.0	22.0	184.0	0.8	0.3	false	false
224.0	217.0	67.0	147.0	16.0	149.0	0.8	0.4	false	false
208.0	221.0	77.0	153.0	12.0	116.0	0.8	0.8	false	false
252.0	299.0	106.0	106.0	107.0	5.0	0.3	0.1	false	false
260.0	157.0	259.0	151.0	186.0	5.0	0.1	0.6	false	false
112.0	275.0	116.0	116.0	152.0	9.0	0.2	0.8	false	false
271.0	270.0	159.0	87.0	95.0	9.0	0.4	0.3	false	false
229.0	295.0	121.0	156.0	192.0	7.0	0.4	0.7	false	false
231.0	281.0	223.0	173.0	191.0	7.0	0.5	0.8	false	false
265.0	125.0	171.0	164.0	182.0	9.0	0.8	0.2	false	false
227.0	71.0	98.0	175.0	195.0	9.0	0.8	0.5	false	false
72.0	279.0	186.0	150.0	169.0	8.0	0.8	0.9	false	false
51.0	65.0	162.0	148.0	192.0	80.0	0.1	0.1	false	true
119.0	112.0	214.0	99.0	95.0	43.0	0.1	0.6	false	true
265.0	61.0	124.0	162.0	198.0	43.0	0.3	0.9	false	true
282.0	278.0	129.0	124.0	146.0	31.0	0.5	0.1	false	true
252.0	213.0	246.0	197.0	103.0	11.0	0.7	0.7	false	false
69.0	266.0	63.0	161.0	197.0	63.0	0.5	0.8	false	true
240.0	118.0	210.0	139.0	82.0	11.0	0.9	0.2	false	false
83.0	125.0	77.0	169.0	85.0	43.0	0.8	0.4	false	true
200.0	57.0	149.0	177.0	139.0	12.0	0.8	0.9	false	false
146.0	103.0	103.0	171.0	189.0	158.0	0.3	0.1	false	true
81.0	245.0	89.0	102.0	165.0	169.0	0.1	0.6	false	true
82.0	211.0	244.0	103.0	139.0	127.0	0.1	0.9	false	true
213.0	270.0	120.0	81.0	109.0	189.0	0.6	0.2	false	true
218.0	84.0	62.0	139.0	158.0	136.0	0.7	0.6	false	true
150.0	63.0	53.0	104.0	131.0	109.0	0.5	0.9	false	true
224.0	131.0	164.0	116.0	198.0	83.0	0.9	0.3	false	true
97.0	234.0	225.0	160.0	182.0	165.0	0.8	0.6	false	true
91.0	93.0	228.0	175.0	113.0	100.0	0.9	0.8	false	true
269.0	120.0	362.0	9.0	5.0	7.0	0.2	0.1	false	false
87.0	71.0	552.0	6.0	7.0	8.0	0.1	0.6	false	false
145.0	165.0	491.0	10.0	8.0	5.0	0.3	0.9	false	false
94.0	178.0	318.0	10.0	6.0	5.0	0.5	0.2	false	false
98.0	210.0	342.0	8.0	6.0	5.0	0.6	0.5	false	false
225.0	272.0	585.0	8.0	6.0	5.0	0.7	0.9	false	false
108.0	205.0	397.0	10.0	6.0	10.0	0.9	0.3	false	false
170.0	227.0	459.0	9.0	9.0	5.0	0.9	0.7	false	false
155.0	202.0	480.0	10.0	9.0	6.0	0.8	0.8	false	false
90.0	295.0	459.0	10.0	10.0	57.0	0.2	0.2	false	false
97.0	245.0	593.0	9.0	8.0	25.0	0.2	0.6	false	false
132.0	146.0	496.0	7.0	8.0	34.0	0.3	0.8	false	false
280.0	133.0	605.0	9.0	10.0	44.0	0.4	0.3	false	false
209.0	64.0	641.0	6.0	7.0	51.0	0.4	0.5	false	false
58.0	117.0	542.0	9.0	9.0	29.0	0.4	0.8	false	false
250.0	296.0	312.0	6.0	7.0	50.0	0.8	0.1	false	false
102.0	202.0	313.0	8.0	6.0	48.0	0.8	0.4	false	false
216.0	262.0	471.0	7.0	7.0	50.0	0.9	0.9	false	false
71.0	223.0	539.0	6.0	10.0	152.0	0.2	0.2	false	false
190.0	150.0	472.0	6.0	5.0	188.0	0.1	0.6	false	false
74.0	264.0	485.0	7.0	7.0	188.0	0.3	0.9	false	false
