k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
144.0	114.0	548.0	6.0	199.0	125.0	0.3	0.5	true	true
241.0	298.0	486.0	9.0	130.0	175.0	0.3	0.8	true	true
131.0	212.0	497.0	6.0	172.0	176.0	0.5	0.2	true	true
175.0	119.0	578.0	8.0	165.0	194.0	0.5	0.6	true	true
256.0	224.0	640.0	6.0	91.0	137.0	0.6	0.8	true	true
213.0	179.0	646.0	10.0	136.0	182.0	0.9	0.3	true	true
97.0	65.0	689.0	8.0	176.0	171.0	0.9	0.5	true	true
125.0	253.0	686.0	9.0	136.0	182.0	0.8	0.9	true	true
193.0	205.0	568.0	67.0	7.0	5.0	0.3	0.3	false	false
59.0	57.0	558.0	72.0	5.0	7.0	0.1	0.7	false	false
235.0	107.0	571.0	56.0	5.0	9.0	0.3	0.9	false	false
164.0	95.0	340.0	32.0	8.0	8.0	0.7	0.3	false	false
108.0	88.0	422.0	31.0	8.0	8.0	0.4	0.4	false	false
238.0	183.0	345.0	16.0	9.0	9.0	0.5	0.8	false	false
176.0	102.0	395.0	29.0	7.0	6.0	0.8	0.1	false	false
101.0	88.0	538.0	26.0	7.0	5.0	0.8	0.5	false	false
222.0	153.0	339.0	14.0	7.0	8.0	0.9	0.9	false	false
96.0	190.0	331.0	80.0	5.0	52.0	0.3	0.1	false	false
135.0	287.0	417.0	51.0	9.0	62.0	0.3	0.6	false	true
85.0	96.0	557.0	78.0	8.0	65.0	0.2	0.9	false	true
62.0	233.0	620.0	19.0	10.0	19.0	0.7	0.2	false	false
277.0	74.0	473.0	61.0	6.0	44.0	0.6	0.6	false	false
75.0	101.0	419.0	13.0	10.0	39.0	0.6	0.8	false	false
137.0	240.0	449.0	30.0	6.0	37.0	0.9	0.3	false	false
298.0	54.0	415.0	48.0	9.0	54.0	0.8	0.4	false	true
256.0	80.0	333.0	77.0	9.0	43.0	0.8	0.8	false	false
211.0	200.0	531.0	70.0	6.0	173.0	0.3	0.2	false	true
